Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall
58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,63,2822,1529,1441,0
46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,66,2272,21,15,0
71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,55,2471,734,692,0
26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,36,2298,48,43,0
58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,39,2320,407,392,0
62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,53,2452,702,688,0
55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,49,2752,563,536,0
33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,35,2576,146,123,0
30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,46,2547,44,42,0
5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,70,2267,36,23,1
7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,44,2752,45,29,0
63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,61,2385,1072,1042,0
59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,68,2385,296,282,0
17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,33,2786,41,36,0
82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,74,2741,1270,1225,2
41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,40,2711,92,88,0
37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,74,2826,289,261,0
76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,71,2617,1606,1430,1
